IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
002308-06012019,06-Jan-19,2019,02:46:55,2,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,E10 7EA,E10,1.00023E+11,22850300,E09000031,WALTHAM FOREST,Waltham Forest,E05000603,LEA BRIDGE,LEA BRIDGE,537296,187801,537250,187850,51.57237721,-0.020229681,London,Leyton,302,Leyton,,,1,1,1,1,333,2,06-01-2019 02:46
002326-06012019,06-Jan-19,2019,04:48:16,4,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,BR6,0,20300093,E09000006,BROMLEY,Bromley,E05000118,FARNBOROUGH AND CROFTON,FARNBOROUGH AND CROFTON,,,544350,164550,,,London,Orpington,703,Bromley,291,Orpington,2,3,3,2,666,4,06-01-2019 04:48
002328-06012019,06-Jan-19,2019,04:54:44,4,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,E3 4NS,E3,6133502,22700842,E09000030,TOWER HAMLETS,Tower Hamlets,E05009321,BROMLEY NORTH,BROMLEY NORTH,537227,182599,537250,182550,51.52564457,-0.023245085,London,Bethnal Green,351,Poplar,,,1,1,1,1,333,8,06-01-2019 04:54
002346-06012019,06-Jan-19,2019,06:26:01,6,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,UB6,0,20600435,E09000009,EALING,Ealing,E05000187,PERIVALE,PERIVALE,,,515450,183550,,,London,Northolt,477,Ealing,485,Northolt,2,2,2,3,999,1,06-01-2019 06:26
002347-06012019,06-Jan-19,2019,06:45:36,6,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),Open land/water - nearest gazetteer location,DA16 3RG,DA16,10025505756,20100114,E09000004,BEXLEY,Bexley,E05011224,EAST WICKHAM,EAST WICKHAM,545491,176081,545450,176050,51.46500728,0.093108836,London,Eltham,407,Plumstead,,,1,1,1,1,333,1,06-01-2019 06:45
002349-06012019,06-Jan-19,2019,06:53:27,6,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SE17,0,22502034,E09000028,SOUTHWARK,Southwark,E05011102,FARADAY,FARADAY,,,532550,177850,,,London,Old Kent Road,360,Old Kent Road,691,Peckham,2,2,12,39,12987,4,06-01-2019 06:53
002356-06012019,06-Jan-19,2019,07:10:39,7,Fire,Secondary Fire,,Outdoor,Heathland ,In street outside gazetteer location,NW3 2SB,NW3,5077073,20400192,E09000007,CAMDEN,Camden,E05000135,HAMPSTEAD TOWN,HAMPSTEAD TOWN,527233,185694,527250,185650,51.55579913,-0.166107813,London,Kentish Town,381,Kentish Town,,,1,1,1,1,333,3,06-01-2019 07:10
002365-06012019,06-Jan-19,2019,07:30:21,7,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,Open land/water - nearest gazetteer location,NW3 2TH,NW3,5001661,20400088,E09000007,CAMDEN,Camden,E05000135,HAMPSTEAD TOWN,HAMPSTEAD TOWN,527537,186074,527550,186050,51.55914139,-0.161583463,London,Kentish Town,632,Kentish Town,,,1,1,1,1,333,1,06-01-2019 07:30
002375-06012019,06-Jan-19,2019,08:00:13,8,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street remote from gazetteer location,SW9 7AX,SW9,1.00022E+11,21900117,E09000022,LAMBETH,Lambeth,E05000421,FERNDALE,FERNDALE,531053,175701,531050,175750,51.46512208,-0.114746107,London,Brixton,222,Clapham,,,1,1,1,1,333,1,06-01-2019 08:00
002383-06012019,06-Jan-19,2019,09:47:26,9,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,RM7 0AF,RM7,1.00023E+11,21301559,E09000016,HAVERING,Havering,E05000319,ROMFORD TOWN,ROMFORD TOWN,551547,187869,551550,187850,51.56933697,0.18528807,London,Dagenham,267,Dagenham,,,1,1,1,1,333,1,06-01-2019 09:47
